"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT3G61580",18789.2189233261,-0.397497798668532,0.140935790003773,0.000559916711532695,0.0151162213843021,"SLD1","Sphingolipid Synthesis","Sphingobase-D8 Desaturase","SLD","Sphingobase-D8 Desaturase","1.14.19.4","55",66,455,572,11.8561746,13.5739922,"targetP, RC1","Heterologous expression",NA,NA,NA,NA,NA
"AT4G25970",7511.94321937115,-0.296652093961131,0.116385695590535,0.00205982480478785,0.0409519696098767,"PSD3","Eukaryotic Phospholipid Synthesis","Phosphatidylserine Decarboxylase","PSD","Phosphatidylserine Decarboxylase","4.1.1.65","48",58,525,443,3.51666194,2.12925368,NA,"Mutant analysis and heterologous protein expression","psd3","Localizes to endomembrane","Nerlich et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17449644?dopt=Abstract",NA,NA
"AT4G26270",782.400038006977,-0.883071637781109,0.199470727590284,0.000000526575116592509,0.0000559471906134471,NA,"Glycolysis","ATP-dependent phosphofructokinase","PFK3",NA,"2.7.1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2007;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c79",NA,NA
"AT5G16120",311.318678809329,-0.484659793450422,0.191808300134633,0.000913724258901639,0.0222168937405856,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,612,369,2.31094928,1.59694026,"targetP, RC2","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT5G19290",1639.68959275071,0.357641437279273,0.129119411764305,0.000792106202501784,0.0200687215049234,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,621,567,10.6504619,3.99235066,"targetP, RC2","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score=75)",NA,NA,NA,NA,NA
"AT5G20410",260.832060378081,0.941084505494826,0.229839075478032,0.00000222892944437883,0.000203926405925067,"MGD2","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Monogalactosyldiacylglycerol Synthase","MGDGS","Monogalactosyldiacylglycerol Synthase","2.4.1.46","29",35,624,284,1.40666478,0.13307836,"targetP, RC3","Heterologous protein expression and mutant characterization","mgd2","MGDG Synthase Type B, involved in lipid membrane remodeling during -P","Awai et al 2001;http://www.ncbi.nlm.nih.gov/pubmed/11553816?log$=activity","Kobayashi et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/18808455?log$=activity","Benning et al 2005;http://www.ncbi.nlm.nih.gov/pubmed/15590685?log$=activity"
"AT5G38430",15298.6551914412,0.599398707715613,0.282102628613751,0.00178343764714193,0.0368664171368398,NA,"Rubisco","ribulose bisphosphate carboxylase small chain 1B","RBCS-1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT5G48485",808.258412712326,-0.40304837042995,0.1804965856362,0.00261509804660697,0.0484798945563292,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 3",NA,"162",193,668,380,2.41142533,14.1063057,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT5G50600",24.622710509676,-1.31931577099286,0.668302172326654,0.00135923560276533,0.0297383284056606,NA,"TAG Synthesis","Steroleosin","STERO","Steroleosin",NA,NA,253,674,745,NA,NA,NA,"Mutant analysis and sequence similarity to sesame steroleosin",NA,NA,"Li et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17616511","Lin et al 2002;http://www.ncbi.nlm.nih.gov/pubmed/11950969",NA
"AT5G50700",21.8384044909098,-1.65864455844719,0.66289425222487,0.000411602596699255,0.0121767822095369,NA,"TAG Synthesis","Steroleosin","STERO","Steroleosin",NA,NA,253,676,747,NA,NA,NA,"Sequence similarity to sesame steroleosin",NA,NA,"Lin et al 2002;http://www.ncbi.nlm.nih.gov/pubmed/11950969",NA,NA
"AT5G55460",93.4557796057966,-1.53256510406737,0.541398814578578,0.000160978826642046,0.00609437465919561,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 3",NA,"162",193,700,122,0.20095211,0.26615671,"targetP, RC2","Sequence similarity",NA,NA,NA,NA,NA
"AT5G61610",157.709747975682,-1.15149530608441,0.417449580575445,0.000219320410087736,0.00752467004193375,NA,"TAG Synthesis","Pollen-surface Oleosin","PO","Pollen-surface Oleosin",NA,"165",204,716,79,0,0.13307836,"targetP, RC5","Sequence similarity",NA,"Tapetum specific expression","Kim et al 2002;http://www.ncbi.nlm.nih.gov/pubmed/11929861",NA,NA
