"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT4G38570",124.938010603454,-0.581022078255183,0.200212716973685,0.00252324748448814,0.00689829836038482,"PIS2","Eukaryotic Phospholipid Synthesis","Phosphatidylinositol Synthase","PIS","Phosphatidylinositol Synthase","2.7.8.11","42",52,565,259,1.20571267,0.79847013,"targetP, RC2","Heterologous Protein Expression",NA,NA,"Xu et al 2000;http://www.ncbi.nlm.nih.gov/pubmed/10809447?dopt=Abstract",NA,NA
"AT4G38690",1792.09826751933,-1.76924785912852,0.151929862850126,0.0000000000000000000000000000000379477855474976,0.00000000000000000000000000000149399671575364,NA,"Phospholipases",NA,NA,"GPI-specific Phospholipase C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT4G39480",54.4377158536656,1.7080073708422,0.328522127736769,0.0000000344867803639158,0.0000002067507567054,"CYP96A9","Cuticular Wax Synthesis","Midchain Alkane Hydroxylase","MAH","Midchain Alkane Hydroxylase / Cytochrome P450, 96A","1.14.13.*","159",189,567,719,NA,NA,NA,"Sequence similarity to MAH1",NA,NA,NA,NA,NA
"AT4G39510",325.592714550791,2.06317518379387,0.220726154003974,0.00000000000000000000152967958410566,0.0000000000000000000305589077822391,"CYP96A12","Cuticular Wax Synthesis","Midchain Alkane Hydroxylase","MAH","Midchain Alkane Hydroxylase / Cytochrome P450, 96A","1.14.13.*","159",189,570,722,NA,NA,NA,"Sequence similarity to MAH1",NA,NA,NA,NA,NA
"AT4G39670",80.0044336793104,0.951390501861033,0.523441407009939,0.0227111162623034,0.0488543299897386,NA,"Sphingolipid Synthesis","Sphingosine Transfer Protein","STP","Sphingosine Transfer Protein",NA,"175",218,571,340,2.00952111,0.53231342,"targetP, RC2","Sequence similarity to ACD11",NA,NA,NA,NA,NA
"AT5G01220",2124.06395519601,0.337646391141753,0.12569986136805,0.00661896865729031,0.0164179466228934,"SQD2","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","UDP-sulfoquinovose:DAG sulfoquinovosyltransferase","SLS","UDP-sulfoquinovose:DAG sulfoquinovosyltransferase",NA,"33",39,573,359,2.21047322,2.12925368,"targetP, RC1","Heterologous protein expression and mutant characterization",NA,NA,"Yu et al 2002;http://www.ncbi.nlm.nih.gov/pubmed/11960029?dopt=Abstract",NA,NA
"AT5G03080",803.442196960566,0.322026838786049,0.111959130910672,0.00360334854497753,0.0095086996826188,NA,"Sphingolipid Synthesis","Long Chain Base 1-Phosphate Phosphatase","LCBPP","Long Chain Base 1-Phosphate Phosphatase","2.7.1.91","142",172,576,725,NA,NA,NA,"Knockout","lppγ",NA,NA,NA,NA
"AT5G03080",803.442196960566,0.322026838786049,0.111959130910672,0.00360334854497753,0.0095086996826188,"LPP &gamma","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Phosphatidate Phosphatase","PP","Phosphatidate Phosphatase","3.1.3.4","28",34,576,724,NA,NA,NA,"Heterologous protein expression and mutant characterization","lppγ","plastidial localization, single mutant lppγ lethal (Ref1), suggested function:LCB-P phosphatases (Ref2)","Nakamura et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17652095?log$=activity","Tsegaye et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17635905?dopt=Abstract",NA
"AT5G03690",61.407272233524,0.649608486668517,0.297116564549947,0.0172916491333806,0.0384792655466824,NA,"Glycolysis","fructose-bisphosphate aldolase","FBA",NA,"4.1.2.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT5G04040",4105.1211017669,-1.27151160262965,0.118275706485676,0.00000000000000000000000000161213313971076,0.0000000000000000000000000477860949567861,"SDP1","TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,577,452,3.71761406,0.93154849,"targetP, RC5","Experimental: strong lipase activity of recombinant protein, strong lipid phenotype of mutant, mutant impaired in postgerminative growth","sugar-dependent1 (sdp1)","Previous enzyme ID : 164 (Patatin-like Acyl-Hydrolase) because of its Patatin domain","Eastmond 2006;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=16473965",NA,NA
