"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT2G37360",72.1998707354736,1.62904261198224,0.39368089151696,0.00000204257547293848,0.000098980139518679,"AtWBC2;AtABCG2","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,258,669,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT2G38530",1107.67677891087,0.780286166911814,0.222988637270648,0.0000296111023277675,0.000896375591452914,"LP;LTP2","Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 1",NA,"162",193,264,604,22.4061604,10.113955,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT2G38540",13590.2356219505,0.790161925791713,0.104813521339917,0.00000000000000391876311724314,0.00000000000320293572116006,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 1",NA,"162",193,265,611,55.4627827,64.2768456,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT2G44290",1020.19593182825,-1.40430411088207,0.299419560860592,0.000000132775158715291,0.0000101133897167702,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,286,312,1.70809294,2.39541039,"targetP, RC2","Sequence similarity",NA,NA,NA,NA,NA
"AT2G45290",1037.33659871063,0.46216989563158,0.115447808580607,0.00000852344135758997,0.000327065386679352,NA,"OPPP","transketolase","transketolase",NA,"2.2.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G48130",41.0182773032128,2.71923227717613,0.695664586812062,0.00000666704911333608,0.000266681964533443,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,298,288,1.50714083,0.13307836,"targetP, RC5","Sequence similarity",NA,NA,NA,NA,NA
"AT2G48130",41.0182773032128,2.71923227717613,0.695664586812062,0.00000666704911333608,0.000266681964533443,"LTPG","Aliphatic Suberin Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,298,289,1.50714083,0.13307836,"targetP, RC5","Sequence similarity to LTPG",NA,"Confirmed GPI-anchored protein. High transcript co-upregulation with suberin biosynthetic genes","Borner et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12805588",NA,NA
"AT2G48140",13.7796058172519,2.90049196054933,0.907175295444367,0.000141034309287349,0.00311457023967066,"EDA4","Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,299,336,2.00952111,0.26615671,"targetP, RC5","Sequence similarity",NA,"Involved in megagametophyte development","Pagnussat et al. 2005;http://arabidopsis.org/servlets/TairObject?type=publication&id=501714637",NA,NA
"AT2G48140",13.7796058172519,2.90049196054933,0.907175295444367,0.000141034309287349,0.00311457023967066,"LTPG","Aliphatic Suberin Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,299,337,2.00952111,0.26615671,"targetP, RC5","Sequence similarity to LTPG",NA,"Confirmed GPI-anchored protein. High transcript co-upregulation with suberin biosynthetic genes.  Involved in megagametophyte development","Borner et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12805588",NA,NA
"AT3G03250",4356.51335018419,0.670372446543214,0.0994640588567082,0.00000000000152587569212721,0.000000000613351999523921,NA,"Glycolysis","UDP-glucose pyrophosphorylase","UGP1",NA,"2.7.7.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meng et al 2009;http://pcp.oxfordjournals.org/cgi/content/full/50/5/998",NA,NA
"AT3G03530",123.247793914587,1.6481941017259,0.616850676924422,0.000266968805678098,0.00500464458350686,"NPC4","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Phospholipase C (Non specific)","nsPLC","Phospholipase C (Non specific)","3.1.4.3","106",136,308,143,0.40190422,0,"targetP, RC2","Heterologous protein expression and mutant characterization","npc4","Localized in the plasma membrane, DGDG BS is not compromised in the mutant during phospate deprivation","Nakamura et al 2005;http://www.ncbi.nlm.nih.gov/pubmed/15618226?log$=activity",NA,NA
"AT3G04120",25329.4087397372,0.464859465293971,0.134391074391334,0.0000674208320000245,0.00174016715856905,NA,"Glycolysis","NAD-Dependent Glyceraldehyde-3-Phosphate Dehydrogenase","GapC1",NA,"1.2.1.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rius et al 2008;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2577239/?tool=pubmed",NA,NA
"AT3G04790",4707.35801622157,0.373181086805393,0.111333150933208,0.000151125849090299,0.00327429985762813,NA,"OPPP","ribose-5-phosphate isomerase","isomerase",NA,"5.3.1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT3G06500",3271.66019137566,-0.294152893722523,0.128019365098156,0.00537886908830075,0.0481525629956679,NA,"Sucrose Degradation","βfructofuranosidase",NA,NA,"3.2.1.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murayama and  Handa 2010;http://www.springerlink.com/content/d835u47016668885/",NA,NA
"AT3G06860",5599.43353233988,-0.453931496638082,0.10783438386366,0.00000338831457674206,0.000149794809148778,"MFP2","b-Oxidation","Multifunctional Protein","MFP (=ECH +HACDH)","Multifunctional Protein","4.2.1.17 , 1.1.1.35 ,5.3.3.8,5.1.2.3","(208 common no ec number),87,88,90,188",270,321,512,6.22951544,3.59311559,"targetP, RC2","Characterisation of mutant","mfp2","The KAT5 cDNA complements the kat2 mutant (Germian et al., 2001).                           KAT5 produces two polypeptides, KAT5.1 and KAT5.2, apparently as a consequence of alternate RNA splicing  - KAT5.1 appears to be cytosolic while KAT5.2 is peroxisomal (Carrie et al., 2007).","Rylott et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16507084?ordinalpos=6&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
"AT3G11430",30.9444355171616,1.80127501576518,0.703247048494913,0.000526395049629874,0.00844160014187345,"AtGPAT5","Aliphatic Suberin Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (endomembrane predicted?)","2.3.1.15","20",26,336,175,0.60285633,0,"targetP, RC2","Heterologous expression, mutant characterization and ectopic overexpression in plants","gpat5","acyl acceptor could be glycerol-3-phosphate or glycerol","Beisson et al 2007;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=17259262","Li et al 2007;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=17496107","Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259"
"AT3G12780",48296.1711993812,0.433334742406688,0.11061722944539,0.0000101790734651651,0.00037759588708903,NA,"Glycolysis","Phosphoglycerate kinase","PGK",NA,"2.7.2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT3G14940",650.829193282622,1.23207537221041,0.219148476590292,0.00000000105242543195737,0.000000165419689689709,NA,"Glycolysis","phosphoenolpyruvate carboxylase","PECP3",NA,"4.1.1.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gregory et al 2010;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2677216/?tool=pubmed",NA,NA
"AT3G15020",109.022580727,0.569642419760303,0.253247241229017,0.00180806365528912,0.0216790810893346,NA,"Glycolysis","NAD-dependent malate dehydrogenase","MDH",NA,"1.1.1.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT3G15820",1499.67708892962,-0.349856263285891,0.114868865627204,0.000479847178015845,0.00785962111219006,"PDCT;ROD1","TAG Synthesis","Phosphatidylcholine:diacylglycerol cholinephosphotransferase","PDCT","Phosphatidylcholine:diacylglycerol cholinephosphotransferase","2.7.8.*","68",278,734,767,NA,NA,NA,"Mutant Analysis and Heterologous Expression",NA,NA,"Lu et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/19833868",NA,NA
"AT3G18280",524.595639689374,1.00405915558307,0.209471897533451,0.0000000953827572408127,0.00000771876306120372,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 2",NA,"162",193,358,508,5.92808728,7.85162296,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT3G21090",110.438537965209,-0.967605661586825,0.268075824088284,0.0000162704473661137,0.000551037803062303,"AtWBC15;22;AtABCG15","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,365,680,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT3G22620",87.0597381589822,3.49871705471096,0.577949796164475,0.000000000141267716109248,0.0000000329893752285597,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,370,384,2.51190139,1.1977052,"targetP, RC3","Sequence similarity",NA,NA,NA,NA,NA
"AT3G25110",255.13271726593,0.949573528821977,0.171674873738931,0.00000000201275415303654,0.000000286934487398,"FatA","Plastidial Fatty Acid Synthesis","Acyl-ACP Thioesterase A","FATA","Acyl-ACP Thioesterase A","3.1.2.14","9",15,377,278,1.40666478,0.79847013,"targetP, RC5","Heterologous protein expression",NA,NA,"Salas et al 2002;http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=0012061798&dopt=Abstract",NA,NA
"AT3G25110",255.13271726593,0.949573528821977,0.171674873738931,0.00000000201275415303654,0.000000286934487398,"FatA","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Acyl-ACP Thioesterase A","FATA","Acyl-ACP Thioesterase A","3.1.2.14","9",15,377,277,1.40666478,0.79847013,"targetP, RC5","Heterologous protein expression",NA,NA,"Salas et al 2002;http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=0012061798&dopt=Abstract","Dormann et al 1995;http://www.ncbi.nlm.nih.gov/pubmed/7840673?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA
"AT3G44540",7.45121865341756,0.141837066702587,0.277413888644652,0.000472332212103957,0.00775725776342199,"AlcFAR4","Cuticular Wax Synthesis","Alcohol-forming Fatty Acyl-CoA Reductase","AlcFAR","Alcohol-forming Fatty Acyl-CoA Reductase","1.1.1.*","151",181,393,195,0.80380844,0.13307836,"targetP, RC3","Mutant characterization; Heterologous expression in yeast",NA,"Suberin-assocated FAR; not involved in cuticular wax biosynthesis",NA,NA,NA
"AT3G44540",7.45121865341756,0.141837066702587,0.277413888644652,0.000472332212103957,0.00775725776342199,"AlcFAR4","Aliphatic Suberin Synthesis","Alcohol-forming Fatty Acyl-CoA Reductase","AlcFAR","Alcohol-forming Fatty Acyl-CoA Reductase (ER)","1.1.1.*","151",181,393,194,0.80380844,0.13307836,"targetP, RC3","Sequence similarity to CER4",NA,"High transcript co-upregulation with suberin biosynthetic genes. Suberin-assocated FAR; not involved in cuticular wax biosynthesis",NA,NA,NA
"AT3G48610",1007.08554800381,0.62143428386046,0.178448053532,0.0000407187243513485,0.00116366331129961,"NPC6","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Phospholipase C (Non specific)","nsPLC","Phospholipase C (Non specific)","3.1.4.3","106",136,405,131,0.30142817,1.46386191,"targetP, RC3","sequence similarity to bacterial PC-PLC",NA,NA,"Nakamura et al 2005;http://www.ncbi.nlm.nih.gov/pubmed/15618226?log$=activity",NA,NA
